POINT (-58.411999314581927 -34.588000069146318);30;3;ICBC;Banco;Palermo;Av. Santa Fe 3316;PALERMO;14;Visual y Audio;;;SANTA FE AV. 3316;3316 SANTA FE AV.
POINT (-58.413648592160293 -34.586908111002607);31;3;ICBC;Banco;Palermo;Av. Santa Fe 3440;PALERMO;14;Visual y Audio;;;SANTA FE AV. 3440;3440 SANTA FE AV.
POINT (-58.404068687295194 -34.583262651513436);32;3;ICBC;Banco;Palermo;Av. Las Heras 3001;PALERMO;14;Visual y Audio;;;LAS HERAS GENERAL AV. 3001;3001 LAS HERAS GENERAL AV.
POINT (-58.444349689382989 -34.57000563409602);46;3;ICBC;Banco;Colegiales;Av. Cabildo 745;PALERMO;14;Visual y Audio;;;CABILDO AV. 745;745 CABILDO AV.
POINT (-58.415379932424095 -34.585299630585524);61;4;Santander Rio;Banco;Capital federal;Av. Santa Fe 3655;PALERMO;14;Visual y Audio;;;SANTA FE AV. 3655;3655 SANTA FE AV.
POINT (-58.407882753922159 -34.580070984683744);63;4;Santander Rio;Banco;Capital federal;Jeronimo Salguero 2751;PALERMO;14;Visual y Audio;;;SALGUERO
POINT (-58.439933455486781 -34.565452335736587);64;4;Santander Rio;Banco;Capital federal;Av. Luis Maria Campos 1175;PALERMO;14;Visual y Audio;;;CAMPOS
POINT (-58.408042726176213 -34.578506126453313);84;5;HSBC;Banco;Capital federal;Av. Del Libertador 2694;PALERMO;14;Visual y Audio;;;DEL LIBERTADOR AV. 2694;2694 DEL LIBERTADOR AV.
POINT (-58.413166449783731 -34.587232147937243);85;5;HSBC;Banco;Capital federal;Av. Santa Fe 3400;PALERMO;14;Visual y Audio;;;SANTA FE AV. 3400;3400 SANTA FE AV.
POINT (-58.4214156426956 -34.554097867718482);95;5;HSBC;Banco;Capital federal;Av. Costanera Rafael Obligado 5101;PALERMO;14;Visual y Audio;;;OBLIGADO RAFAEL
POINT (-58.400444773264411 -34.569507011651126);96;5;HSBC;Banco;Capital federal;Av. Costanera Rafael Obligado y J. Salguero;PALERMO;14;Visual y Audio;;;OBLIGADO RAFAEL
POINT (-58.43735492007162 -34.564727521119202);109;7;Banco Patagonia;Banco;CABA;Olleros 1712;PALERMO;14;Visual y Audio;;;OLLEROS AV. 1712;1712 OLLEROS AV.
POINT (-58.447567300640991 -34.568405866805882);111;7;Banco Patagonia;Banco;CABA;Av. Cabildo 1159;PALERMO;14;Visual y Audio;;;CABILDO AV. 1159;1159 CABILDO AV.
POINT (-58.478071561809827 -34.687010318683093);66;4;Santander Rio;Banco;Capital federal;Guamini 4843;VILLA RIACHUELO;8;Visual y Audio;;;GUAMINI 4843;4843 GUAMINI
POINT (-58.524761755020087 -34.613546999424912);21;2;Comafi;Banco;Capital federal;Av. Francisco Beiro 5265;VILLA DEVOTO;11;Visual y Audio;4639-1024;;BEIRO
POINT (-58.524761577158039 -34.613546813818587);27;2;Comafi;Banco;Devoto;Av. Fco. Beiro 5265;VILLA DEVOTO;11;Visual
POINT (-58.513152926817227 -34.601890807152444);56;4;Santander Rio;Banco;Capital federal;Asunción 4189;VILLA DEVOTO;11;Visual y Audio;;;ASUNCION 4189;4189 ASUNCION
POINT (-58.516417976791779 -34.610453771033242);94;5;HSBC;Banco;Capital federal;Jose Pedro Varela 4750;VILLA DEVOTO;11;Visual y Audio;;;VARELA
POINT (-58.51140312049526 -34.591373083657224);120;7;Banco Patagonia;Banco;CABA;Av. San Martin 6931/35;VILLA DEVOTO;11;Visual y Audio;;;SAN MARTIN AV. 6931;6931 SAN MARTIN AV.
POINT (-58.524169087560423 -34.639151090381702);112;7;Banco Patagonia;Banco;CABA;Av. Rivadavia 11334;LINIERS;9;Visual y Audio;;;RIVADAVIA AV. 11334;11334 RIVADAVIA AV.
POINT (-58.367285908678809 -34.600337672756893);65;4;Santander Rio;Banco;Capital federal;A.M de Justo 164;PUERTO MADERO;1;Visual y Audio;;;MOREAU DE JUSTO
POINT (-58.382135081066629 -34.609598583979952);78;5;HSBC;Banco;Capital federal;Lima 93;MONSERRAT;1;Visual y Audio;;;LIMA 93;93 LIMA
POINT (-58.376607520618919 -34.608310121071796);113;7;Banco Patagonia;Banco;CABA;Chacabuco 15;MONSERRAT;1;Visual y Audio;;;CHACABUCO 15;15 CHACABUCO
POINT (-58.374404238675929 -34.607298586229909);45;3;ICBC;Banco;Centro;Av. Roque saez Peña 567;SAN NICOLAS;1;Visual y Audio;;;SAENZ PEÑA
POINT (-58.380091743054997 -34.604320260176074);77;5;HSBC;Banco;Capital federal;Roque Saez Peña 943;SAN NICOLAS;1;Visual y Audio;;;SAENZ PEÑA
POINT (-58.375870639011232 -34.607016616604739);16;2;Comafi;Banco;Capital federal;Av. Roque saez Peña 660;SAN NICOLAS;1;Visual y Audio;4347-0400;Cuenta con una entrada especial para sillas de rueda;SAENZ PEÑA
POINT (-58.37364909345127 -34.602918044031775);55;4;Santander Rio;Banco;Capital federal;San Martín 427;SAN NICOLAS;1;Visual y Audio;;;SAN MARTIN 427;427 SAN MARTIN
POINT (-58.370791922087015 -34.604272044890074);75;5;HSBC;Banco;Capital federal;25 de mayo;SAN NICOLAS;1;Visual y Audio;;;25 DE MAYO;25 DE MAYO
POINT (-58.373588216288987 -34.604042522481691);97;6;Banco de Corrientes;Banco;Capital federal;San Martín 333;SAN NICOLAS;1;No posee;;;SAN MARTIN 333;333 SAN MARTIN
POINT (-58.372542994417977 -34.604191451712119);3;1;Macro;Banco;Casa Central;Sarmiento 401;SAN NICOLAS;1;Visual y Audio;;No cuenta con ingreso para silla;SARMIENTO 401;401 SARMIENTO
POINT (-58.388310407065305 -34.600729913115885);22;2;Comafi;Banco;Tribunales;Parana 696;SAN NICOLAS;1;Visual y Audio;;;PARANA 696;696 PARANA
POINT (-58.391967411313644 -34.6057581423985);37;3;ICBC;Banco;Congreso;Av. Callao 291;SAN NICOLAS;1;Visual y Audio;;;CALLAO AV. 291;291 CALLAO AV.
POINT (-58.387493121613794 -34.600440759368439);39;3;ICBC;Banco;Tribunales;Viamonte 1453;SAN NICOLAS;1;Visual y Audio;;;VIAMONTE 1453;1453 VIAMONTE
POINT (-58.380804203267211 -34.602765225377411);42;3;ICBC;Banco;Centro;Carlos Pellegrini 479;SAN NICOLAS;1;Visual y Audio;;;PELLEGRINI
POINT (-58.386978062667723 -34.603848341191011);52;4;Santander Rio;Banco;Capital federal;Av. Corrientes 1427;SAN NICOLAS;1;Visual
POINT (-58.378689520922173 -34.605483392445713);59;4;Santander Rio;Banco;Capital federal;Av. Roque Saenz Peña 844;SAN NICOLAS;1;Visual y Audio;;;SAENZ PEÑA
POINT (-58.370615994844307 -34.60241144931787);69;4;Santander Rio;Banco;Capital federal;Av. Leandro Alem 456;SAN NICOLAS;1;Visual
POINT (-58.372402297370506 -34.603324254927948);105;7;Banco Patagonia;Banco;CABA;Av. Corrientes 400;SAN NICOLAS;1;Visual y Audio;;;CORRIENTES AV. 400;400 CORRIENTES AV.
POINT (-58.368725559622661 -34.601571608886019);117;7;Banco Patagonia;Banco;CABA;Lavalle 45;SAN NICOLAS;1;Visual y Audio;;;LAVALLE 45;45 LAVALLE
POINT (-58.373650298602406 -34.605791547692021);118;7;Banco Patagonia;Banco;CABA;Casa Central Tte. Gral. Juan Domingo Perón 500;SAN NICOLAS;1;Visual y Audio;;;PERON
POINT (-58.442414044038046 -34.541940813071037);74;4;Santander Rio;Banco;Capital federal;Int. Guiraldes Ciudad Universitaria;BELGRANO;13;Visual y Audio;;;;
POINT (-58.460566788357959 -34.565929099287949);57;4;Santander Rio;Banco;Capital federal;Cramer;BELGRANO;13;Visual y Audio;;;CRAMER;CRAMER
POINT (-58.458053487868568 -34.563060053200267);11;1;Macro;Banco;Capital federal;Juramento 2558;BELGRANO;13;Visual y Audio;;;JURAMENTO AV. 2558;2558 JURAMENTO AV.
POINT (-58.459650464032592 -34.558281834275292);47;4;Santander Rio;Banco;Belgrano;Av. Cabildo 2491;BELGRANO;13;Visual
POINT (-58.453565960818779 -34.565146638365583);60;4;Santander Rio;Banco;Capital federal;Av. Cabildo 1741;BELGRANO;13;Visual
POINT (-58.459351643441281 -34.558624130129523);83;5;HSBC;Banco;Capital federal;Av. Cabildo 2453;BELGRANO;13;Visual y Audio;;;CABILDO AV. 2453;2453 CABILDO AV.
POINT (-58.401027563666062 -34.592048738994045);28;3;ICBC;Banco;Recoleta;Av. Pueyrredon 1657;RECOLETA;2;Visual y Audio;;;PUEYRREDON AV. 1657;1657 PUEYRREDON AV.
POINT (-58.393751589751517 -34.589104865990315);35;3;ICBC;Banco;Recoleta;Vicente López 2050;RECOLETA;2;Visual y Audio;;;LOPEZ
POINT (-58.398851412006351 -34.595509513548109);5;1;Macro;Banco;Barrio Norte;Av. Santa Fe 2220;RECOLETA;2;Visual y Audio;;Ingreso a nivel;SANTA FE AV. 2220;2220 SANTA FE AV.
